Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Software Architecture","Communications in Computer and Information Science","","","","10.1007/978-3-030-59155-7","Henry MucciniParis AvgeriouDr. Barbora BuhnovaJavier CamaraMauro CaporuscioMirco FranzagoAnne KoziolekDr. Patrizia ScandurraCatia TrubianiDanny WeynsUwe Zdun","2020","http://link.springer.com/book/10.1007/978-3-030-59155-7","Book"
"Encyclopedia of GIS","","","","","10.1007/978-3-319-17885-1","Shashi ShekharHui XiongXun Zhou","2017","http://link.springer.com/referencework/10.1007/978-3-319-17885-1","ReferenceWork"
"Quality in model-driven engineering: a tertiary study","Software Quality Journal","","24","3","10.1007/s11219-016-9324-8","Miguel GoulãoVasco AmaralMarjan Mernik","2016","http://link.springer.com/article/10.1007/s11219-016-9324-8","Article"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-030-35333-9","Prof. Dr. Xavier FranchTomi MännistöSilverio Martínez-Fernández","2019","http://link.springer.com/book/10.1007/978-3-030-35333-9","Book"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-49435-3","Prof. Dr. Schahram DustdarDr. Eric YuCamille SalinesiDominique RieuVik Pant","2020","http://link.springer.com/book/10.1007/978-3-030-49435-3","Book"
"Using Model Driven Engineering to Support Multi-paradigms Security Analysis","Model-Driven Engineering and Software Development","","","","10.1007/978-3-319-27869-8_16","Rouwaida AbdallahAnas MotiiNataliya YakymetsAgnes Lanusse","2015","http://link.springer.com/chapter/10.1007/978-3-319-27869-8_16","Chapter"
"Model-Driven Systems Engineering: Principles and Application in the CPPS Domain","Multi-Disciplinary Engineering for Cyber-Physical Production Systems","","","","10.1007/978-3-319-56345-9_11","Luca BerardinelliAlexandra MazakOliver AltManuel WimmerGerti Kappel","2017","http://link.springer.com/chapter/10.1007/978-3-319-56345-9_11","Chapter"
"A model-driven engineering approach for supporting questionnaire-based gap analysis processes through application lifecycle management systems","Software Quality Journal","","28","2","10.1007/s11219-019-09479-w","Domenico AmalfitanoVincenzo De SimoneStefano ScalaAnna Rita Fasolino","2020","http://link.springer.com/article/10.1007/s11219-019-09479-w","Article"
"Encyclopedia of Database Systems","","","","","10.1007/978-1-4614-8265-9","Ling LiuM. Tamer Özsu","2018","http://link.springer.com/referencework/10.1007/978-1-4614-8265-9","ReferenceWork"
"Grand challenges in model-driven engineering: an analysis of the state of the research","Software and Systems Modeling","","19","1","10.1007/s10270-019-00773-6","Antonio BucchiaroneJordi CabotRichard F. PaigeAlfonso Pierantonio","2020","http://link.springer.com/article/10.1007/s10270-019-00773-6","Article"
