Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"4th International Workshop on Model Driven Engineering, Verification, and Validation: Integrating Verification and Validation in MDE","Models in Software Engineering","","","","10.1007/978-3-540-69073-3_16","Benoit BaudryAlain FaivreSudipto GhoshAlexander Pretschner","2008","http://link.springer.com/chapter/10.1007/978-3-540-69073-3_16","Chapter"
"Where does model-driven engineering help? Experiences from three industrial cases","Software & Systems Modeling","","12","3","10.1007/s10270-011-0219-7","Parastoo MohagheghiWasif GilaniAlin StefanescuMiguel A. FernandezBjørn NordmoenMathias Fritzsche","2013","http://link.springer.com/article/10.1007/s10270-011-0219-7","Article"
"An empirical study of the state of the practice and acceptance of model-driven engineering in four industrial cases","Empirical Software Engineering","","18","1","10.1007/s10664-012-9196-x","Parastoo MohagheghiWasif GilaniAlin StefanescuMiguel A. Fernandez","2013","http://link.springer.com/article/10.1007/s10664-012-9196-x","Article"
"Model-Driven Engineering for Trusted Embedded Systems Based on Security and Dependability Patterns","SDL 2013: Model-Driven Dependability Engineering","","","","10.1007/978-3-642-38911-5_5","Brahim HamidJacob GeiselAdel ZianiJean-Michel BruelJon Perez","2013","http://link.springer.com/chapter/10.1007/978-3-642-38911-5_5","Chapter"
"Rigorous identification and encoding of trace-links in model-driven engineering","Software & Systems Modeling","","10","4","10.1007/s10270-010-0158-8","Richard F. PaigeNikolaos DrivalosDimitrios S. KolovosKiran J. FernandesChristopher PowerGoran K. OlsenSteffen Zschaler","2011","http://link.springer.com/article/10.1007/s10270-010-0158-8","Article"
"Encyclopedia of GIS","","","","","10.1007/978-0-387-35973-1","Shashi ShekharHui Xiong","2008","http://link.springer.com/referencework/10.1007/978-0-387-35973-1","ReferenceWork"
"Encyclopedia of Database Systems","","","","","10.1007/978-0-387-39940-9","LING LIUM. TAMER ÖZSU","2009","http://link.springer.com/referencework/10.1007/978-0-387-39940-9","ReferenceWork"
"From Model Driven Engineering to Verification Driven Engineering","Software Technologies for Embedded and Ubiquitous Systems","","","","10.1007/978-3-540-87785-1_34","Fabrice KordonJérôme HuguesXavier Renault","2008","http://link.springer.com/chapter/10.1007/978-3-540-87785-1_34","Chapter"
"Towards a Model-Based Evolutionary Chain of Evidence for Compliance with Safety Standards","Computer Safety, Reliability, and Security","","","","10.1007/978-3-642-33675-1_6","Jose Luis de la VaraSunil NairEric VerhulstJanusz StudzizbaPiotr PepekJerome LambourgMehrdad Sabetzadeh","2012","http://link.springer.com/chapter/10.1007/978-3-642-33675-1_6","Chapter"
"A Model Driven Security Engineering Approach to Support Collaborative Tools Deployment Over Clouds","Concurrent Engineering Approaches for Sustainable Product Development in a Multi-Disciplinary Environment","","","","10.1007/978-1-4471-4426-7_95","W. F. OuedraogoF. BiennierP. Ghodous","2013","http://link.springer.com/chapter/10.1007/978-1-4471-4426-7_95","Chapter"
"MDSE@R: Model-Driven Security Engineering at Runtime","Cyberspace Safety and Security","","","","10.1007/978-3-642-35362-8_22","Mohamed AlmorsyJohn GrundyAmani S. Ibrahim","2012","http://link.springer.com/chapter/10.1007/978-3-642-35362-8_22","Chapter"
"Model-Based Specification and Validation of Security and Dependability Patterns","Foundations and Practice of Security","","","","10.1007/978-3-319-05302-8_5","Brahim HamidChristian Percebois","2014","http://link.springer.com/chapter/10.1007/978-3-319-05302-8_5","Chapter"
"Model Driven Software Development","Modelling Foundations and Applications","","","","10.1007/978-3-642-39013-5_16","Vinay Kulkarni","2013","http://link.springer.com/chapter/10.1007/978-3-642-39013-5_16","Chapter"
"A Threat Model-Driven Security Testing Approach for Web Application","Contemporary Research on E-business Technology and Strategy","","","","10.1007/978-3-642-34447-3_14","Bobo YanXiaohong LiZhijie Du","2012","http://link.springer.com/chapter/10.1007/978-3-642-34447-3_14","Chapter"
"Model-Driven V&V Processes for Computer Based Control Systems: A Unifying Perspective","Leveraging Applications of Formal Methods, Verification and Validation. Applications and Case Studies","","","","10.1007/978-3-642-34032-1_20","Francesco FlamminiStefano MarroneNicola MazzoccaRoberto NardoneValeria Vittorini","2012","http://link.springer.com/chapter/10.1007/978-3-642-34032-1_20","Chapter"
"INCREMENT: A Mixed MDE-IR Approach for Regulatory Requirements Modeling and Analysis","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-319-05843-6_11","Nicolas SannierBenoit Baudry","2014","http://link.springer.com/chapter/10.1007/978-3-319-05843-6_11","Chapter"
"Model-Driven Availability Evaluation of Railway Control Systems","Computer Safety, Reliability, and Security","","","","10.1007/978-3-642-24270-0_2","Simona BernardiFrancesco FlamminiStefano MarroneJosé MerseguerCamilla PapaValeria Vittorini","2011","http://link.springer.com/chapter/10.1007/978-3-642-24270-0_2","Chapter"
"Model-driven engineering of middleware-based ubiquitous services","Software & Systems Modeling","","13","2","10.1007/s10270-013-0344-6","Marco AutiliMauro CaporuscioValérie IssarnyLuca Berardinelli","2014","http://link.springer.com/article/10.1007/s10270-013-0344-6","Article"
"Software Verification — A Scalable, Model-Driven, Empirically Grounded Approach","Simula Research Laboratory","","","","10.1007/978-3-642-01156-6_28","Lionel C. Briand","2010","http://link.springer.com/chapter/10.1007/978-3-642-01156-6_28","Chapter"
"Encyclopedia of Complexity and Systems Science","","","","","10.1007/978-0-387-30440-3","Robert A. Meyers Ph. D.","2009","http://link.springer.com/referencework/10.1007/978-0-387-30440-3","ReferenceWork"
"Model-Driven Safety Evaluation with State-Event-Based Component Failure Annotations","Component-Based Software Engineering","","","","10.1007/11424529_3","Lars GrunskeBernhard KaiserYiannis Papadopoulos","2005","http://link.springer.com/chapter/10.1007/11424529_3","Chapter"
"Requirements on the Target Programming Language for High-Integrity MDE","Reliable Software Technologies – Ada-Europe 2009","","","","10.1007/978-3-642-01924-1_1","Alessandro ZoviTullio Vardanega","2009","http://link.springer.com/chapter/10.1007/978-3-642-01924-1_1","Chapter"
"Graph Transformations for MDE, Adaptation, and Models at Runtime","Formal Methods for Model-Driven Engineering","","","","10.1007/978-3-642-30982-3_5","Holger GieseLeen LambersBasil BeckerStephan HildebrandtStefan NeumannThomas VogelSebastian Wätzoldt","2012","http://link.springer.com/chapter/10.1007/978-3-642-30982-3_5","Chapter"
"Architecture Based Model Driven Software and System Development for Real-Time Embedded Systems","Radical Innovations of Software and Systems Engineering in the Future","","","","10.1007/978-3-540-24626-8_17","Bruce Lewis","2004","http://link.springer.com/chapter/10.1007/978-3-540-24626-8_17","Chapter"
"Model-Based Development of Medical Devices","Computer Safety, Reliability, and Security","","","","10.1007/978-3-642-04468-7_2","Uwe Becker","2009","http://link.springer.com/chapter/10.1007/978-3-642-04468-7_2","Chapter"
